public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt73_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt73();public final pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt75_return pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.stmt75();158
public static void pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.facts.Rule_sig_ok_0.consequence(org.drools.spi.KnowledgeHelper, pl.edu.mimuw.jloxim.stores.schema.api.signatures.Signature, org.drools.FactHandle, pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.Context);public void pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.Context.setResult(pl.edu.mimuw.jloxim.stores.schema.api.signatures.Signature);13
public pl.edu.mimuw.jloxim.executors.querytree.SBQLOperator pl.edu.mimuw.jloxim.executors.OperatorTreeBuilderImpl.buildOperatorNode(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode);public pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.QueryNode pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.BinaryOperatorNode.getLeftArg();226
private pl.edu.mimuw.jloxim.executors.sbql.typecheck.OperatorResult pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.RulesEngineFacade.getInferredSignature(org.drools.StatefulSession, pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.Context, pl.edu.mimuw.jloxim.executors.sbql.typecheck.OperatorsEnum);public java.lang.Long pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.facts.CardinalityFact.getMaxOccurences();210
public java.lang.String pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.CompareOperatorNode.toString();public java.lang.String pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.BagNode.toString();2
private void pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypecheckTreeVisitor.evaluateNonAlgebraicOperator(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.BinaryOperatorNode, pl.edu.mimuw.jloxim.executors.sbql.typecheck.OperatorsEnum);private void pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypecheckTreeVisitor.processQueryResult(pl.edu.mimuw.jloxim.executors.sbql.typecheck.OperatorResult, pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.QueryNode);165
public synchronized void pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.BerkeleyAs0Store.init();protected com.sleepycat.je.DatabaseEntry pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.BerkeleyAs0Store.long2key(long);1
public pl.edu.mimuw.jloxim.xml_test.junit.LocalJLoximXMLJUnitTestEnvironment();public void pl.edu.mimuw.jloxim.stores.schema.impl.metabase.MetabaseROImpl.setNamesTransaltor(pl.edu.mimuw.jloxim.stores.as0.NamesTranslator);1
public static void pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.facts.Rule_card_0.consequence(org.drools.spi.KnowledgeHelper, java.lang.Long, org.drools.FactHandle, java.lang.Long, org.drools.FactHandle);public int pl.edu.mimuw.jloxim.executors.sbql.typecheck.rules.facts.FactBase.getIndex();24
private java.util.Map pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypecheckUtils.groupSignatures(java.util.List);private int pl.edu.mimuw.jloxim.executors.sbql.typecheck.TypecheckUtils.computeHashForSignaturesGrouping(pl.edu.mimuw.jloxim.stores.schema.api.signatures.Signature);17
private org.antlr.runtime.tree.CommonTree pl.edu.mimuw.jloxim.executors.sbql.parser.BasicStmtParser.parseStatement(java.lang.String);public void pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.JLoximParser.setTreeAdaptor(org.antlr.runtime.tree.TreeAdaptor);24
public java.lang.String pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetSequenceImpl.toString();public java.util.Iterator pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetSequenceImpl.iterator();2
public pl.edu.mimuw.jloxim.xml_test.junit.LocalJLoximXMLJUnitTestEnvironment();public void pl.edu.mimuw.jloxim.server.uniform.api.direct.DBConnectionManagerImpl.setLang2executionBundleMap(java.util.Map);1
public pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.AntlrTreeTranslator.translateTree(java.lang.Object);private pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.AntlrTreeTranslator.translateBag(org.antlr.runtime.tree.CommonTree);2
public pl.edu.mimuw.jloxim.utils.api.AbstractOid pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.BerkeleyAs0Store.addSubobject(pl.edu.mimuw.jloxim.physical_trans.trans_mgr.api.Transaction, pl.edu.mimuw.jloxim.utils.api.AbstractOid, pl.edu.mimuw.jloxim.model.as0.api.rw.AS0ObjectEditable);public pl.edu.mimuw.jloxim.utils.api.AbstractOid pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.BerkeleyAs0Store.getConfigRootOid();89
public pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetBagImpl.Builder pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetBagImpl.Builder.add(pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset);protected void pl.edu.mimuw.jloxim.model.as0.impl.resultset.AS0ResultsetBagImpl.Builder.realAddToBuilder(pl.edu.mimuw.jloxim.model.as0.api.resultset.AS0Resultset);5012
private pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.SyntaxTreeNode pl.edu.mimuw.jloxim.executors.sbql.parser.antlr.AntlrTreeTranslator.translateAs(org.antlr.runtime.tree.CommonTree);public void pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.AsNode.setName(pl.edu.mimuw.jloxim.executors.sbql.parser.syntaxtree.IdNode);24
public void pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.ChildIndexKeyTupleBinding.objectToEntry(pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.ChildIndexKey, com.sleepycat.bind.tuple.TupleOutput);public int pl.edu.mimuw.jloxim.stores.as0.bdb_je.store.ChildIndexKey.getChild_name_id();2713
